|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|-------------|-------------|-----------------------|
|41           |0            |2025-02-11 20:43:38.585|
|1,211,635,300|0            |2025-02-11 14:09:27.929|
|1,211,634,534|0            |2025-02-11 14:07:48.381|
|1,211,630,286|0            |2025-02-11 13:59:43.009|
|1,211,602,910|0            |2025-02-11 13:06:04.927|
|1,211,602,907|0            |2025-02-11 13:06:04.608|
|1,211,602,905|0            |2025-02-11 13:06:03.859|
|1,211,602,904|0            |2025-02-11 13:06:03.613|
|1,211,602,902|0            |2025-02-11 13:06:03.079|
|1,211,602,756|0            |2025-02-11 13:05:44.712|
|1,211,602,454|0            |2025-02-11 13:05:07.293|
|1,211,595,098|0            |2025-02-11 12:50:20.280|
|1,211,582,174|0            |2025-02-11 12:25:40.485|
|1,211,582,161|0            |2025-02-11 12:25:40.339|
|1,211,581,951|0            |2025-02-11 12:25:07.221|
|1,211,581,607|0            |2025-02-11 12:24:14.695|
|1,211,581,602|0            |2025-02-11 12:24:14.373|
|1,211,581,584|0            |2025-02-11 12:24:12.977|
|1,211,581,347|0            |2025-02-11 12:23:27.944|
|1,211,581,333|0            |2025-02-11 12:23:24.894|
|1,211,581,240|0            |2025-02-11 12:23:07.138|
|1,211,581,183|0            |2025-02-11 12:22:49.379|
|1,211,581,173|0            |2025-02-11 12:22:45.930|
|1,211,581,126|0            |2025-02-11 12:22:27.045|
|1,211,580,975|0            |2025-02-11 12:22:04.301|
|1,211,580,628|0            |2025-02-11 12:21:10.925|
|1,211,580,620|0            |2025-02-11 12:21:09.845|
|1,211,580,609|0            |2025-02-11 12:20:59.816|
|1,211,580,608|0            |2025-02-11 12:20:59.231|
|1,211,580,041|0            |2025-02-11 12:19:17.959|
|1,211,579,853|0            |2025-02-11 12:18:30.538|
|1,211,579,851|0            |2025-02-11 12:18:30.311|
|1,211,579,495|0            |2025-02-11 12:17:22.372|
|1,211,579,491|0            |2025-02-11 12:17:18.220|
|1,211,579,490|0            |2025-02-11 12:17:18.186|
|1,211,579,489|0            |2025-02-11 12:17:14.013|
|1,211,579,488|0            |2025-02-11 12:17:13.901|
|1,211,579,484|0            |2025-02-11 12:17:13.000|
|1,211,579,482|0            |2025-02-11 12:17:12.998|
|1,211,579,477|0            |2025-02-11 12:17:12.975|
|1,211,579,475|0            |2025-02-11 12:17:12.965|
|1,211,579,471|0            |2025-02-11 12:17:12.938|
|1,211,579,469|0            |2025-02-11 12:17:12.931|
|1,211,579,468|0            |2025-02-11 12:17:12.921|
|1,211,579,439|0            |2025-02-11 12:16:52.574|
|1,211,579,407|0            |2025-02-11 12:16:42.736|
|1,211,579,395|0            |2025-02-11 12:16:21.489|
|1,211,579,394|0            |2025-02-11 12:16:21.441|
